pixel_id,latitude,longitude,1981-01-01,1982-01-01,1983-01-01,1984-01-01,1985-01-01,1986-01-01,1987-01-01,1988-01-01,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,2026-01-01
0,37.0,72.5,73.153336,75.6333,71.14339,69.145615,73.0612,64.26555,66.03978,68.72089,69.305305,82.67288,68.82146,79.92108,66.2887,64.75215,64.09396,62.907883,69.166855,79.47015,75.07024,68.791824,59.80141,60.042446,68.199554,77.71721,71.430405,83.015,59.983536,80.26306,78.92015,73.2685,65.945206,72.577835,62.20053,68.32794,71.761406,63.253525,81.08325,69.10965,76.69249,76.320694,48.61503,74.31093,71.03053,65.27339,62.502,67.050186
1,37.0,72.75,72.52443,72.60596,70.27425,69.4171,71.29167,63.312424,63.7722,67.25018,68.00062,79.44241,66.24333,76.62811,64.550415,63.873245,63.375214,61.960617,67.95592,78.0307,73.15422,67.55159,59.192036,58.67721,66.61752,74.752365,68.67064,79.14586,58.253067,77.10095,75.422104,72.06147,65.382706,69.80635,60.78061,66.69318,70.1032,61.773056,79.190674,66.443634,75.76866,75.09804,47.312294,72.58241,69.04616,63.49019,59.669968,66.03847
2,37.0,73.0,72.977554,72.01221,69.97542,69.776474,71.12761,62.624924,62.77806,66.66229,65.72523,78.206085,64.68083,75.63202,63.663696,63.711136,63.777557,61.509445,67.33092,76.83148,73.04875,67.28401,58.715473,58.58151,65.86752,73.58635,67.18822,78.50328,57.489395,77.01697,75.41429,71.81342,64.86903,68.59737,60.229828,66.386536,69.64422,60.93907,79.01294,64.88504,75.88585,74.20546,48.548622,71.86366,69.04811,62.744095,59.685593,65.40175
3,37.0,73.25,74.38185,74.37744,70.26253,71.790146,72.86003,64.488205,64.68822,68.451355,67.47523,80.842804,66.61638,78.58124,65.65198,65.18184,64.47287,63.46257,68.15318,78.69672,72.72258,68.23909,58.928364,60.47604,67.094086,74.33635,71.00462,80.987656,59.895645,80.14978,77.634995,72.77631,63.9413,71.50752,62.214203,67.605286,70.25555,61.823837,79.83716,65.6409,75.196396,74.939835,51.349403,73.008194,71.64967,63.22847,61.462936,66.19472
4,37.0,73.5,76.30763,75.95166,71.40901,75.28819,74.881516,66.69524,66.82689,71.88104,71.092415,83.97952,68.751144,81.44452,68.59924,67.36153,65.7717,68.19499,69.817245,81.45648,73.25383,70.14925,60.186176,62.17721,68.56674,76.12346,74.949936,82.83922,63.299942,83.0072,78.666245,74.16694,64.87294,75.61299,65.17514,69.65802,71.72039,62.99376,81.141846,66.73465,75.67296,76.98085,52.624794,75.87538,74.288345,64.206985,63.216843,68.20448
5,37.0,73.75,77.14943,74.63721,71.65901,76.42491,74.52019,66.09563,65.961655,72.84589,70.379524,83.180695,67.7238,80.45233,69.13049,67.129105,66.25217,70.46648,70.078964,80.14984,74.39055,70.48714,60.320942,61.67526,67.95346,76.10588,73.31712,82.54234,63.8058,83.270874,77.61937,73.227486,65.68153,76.183304,65.165375,69.76935,71.5075,62.855087,81.37427,65.63895,76.14757,76.87538,52.439247,76.2953,74.56178,63.255814,63.941452,68.6537
6,37.0,74.0,74.70607,71.86182,69.686356,74.09288,71.30339,63.2968,62.348373,70.59589,66.49476,79.03226,64.78825,77.28436,67.3512,64.2502,63.881073,68.31023,67.42662,75.9975,73.21477,67.83479,57.98891,59.39596,65.90463,72.76994,70.112045,80.72398,61.182755,81.577515,75.384995,68.858345,62.92177,73.04268,62.452484,66.57013,68.28289,60.991806,78.860596,62.35379,74.09288,73.53749,51.212685,72.36952,73.34108,59.406204,62.457077,66.48573
7,37.0,74.25,73.42482,72.78955,69.55159,74.9503,71.293625,63.84172,62.244858,71.66815,67.15882,79.34866,65.02263,78.62811,68.400024,65.279495,63.324432,68.978195,66.55162,76.41547,73.16594,67.504715,57.29555,59.13229,66.86362,72.5258,73.424545,82.13219,61.528458,83.15173,76.916245,67.75288,62.24794,73.771194,63.077484,66.5506,67.32781,60.4254,78.73169,61.676056,73.82921,73.48085,51.355263,71.7621,75.36452,58.074173,62.779343,66.78261
8,37.0,74.5,75.11427,76.186035,71.38167,79.1671,74.66472,67.59563,65.643295,75.71112,71.49476,84.02054,68.32146,82.647644,71.49963,69.879105,65.50607,73.134445,69.00865,80.552185,75.09172,70.05354,58.992817,60.847134,69.89096,76.64494,79.93431,85.90367,65.14955,86.67322,80.30101,70.86616,64.93349,78.87666,66.47983,70.28107,69.17742,61.74962,82.04419,63.894806,75.84093,77.23476,52.845497,75.61757,79.507095,60.201126,65.42778,69.77284
9,37.0,74.75,75.05763,76.430176,71.53401,80.88585,75.287766,68.68352,66.09447,76.83807,73.13148,85.993195,69.66325,82.7453,72.368774,71.49629,65.61154,74.896164,70.41295,81.9389,74.7968,70.39729,59.697895,61.567837,70.21518,78.02971,81.80736,86.75133,67.171036,87.628296,80.29906,70.96967,65.64638,81.58565,67.546234,71.31622,69.15203,61.784775,83.17114,64.812775,75.790146,78.584366,53.20292,77.04921,80.70827,60.326126,65.986374,70.737686
